MR32 CSV
Name;Staw lokciowy zginanie, nadgarstkowy wyprost 2
Frequency;1500
Date;17-03-2023 12:32:00
"Time,s";"FLEX.CAPR.U RT,%";"BICEPS BR. RT,%";"BRACHIORAD. RT,%";"LAT. TRICEPS RT,%"
0,2760;1,086;3,315;1,071;1,023
0,2767;1,084;3,315;1,071;1,023
0,2773;1,083;3,318;1,071;1,022
0,2780;1,082;3,318;1,071;1,022
0,2787;1,08;3,318;1,074;1,022
0,2793;1,08;3,315;1,077;1,022
0,2800;1,08;3,31;1,077;1,022
0,2807;1,08;3,31;1,077;1,022
0,2813;1,08;3,31;1,081;1,022
0,2820;1,082;3,31;1,081;1,022
0,2827;1,082;3,307;1,081;1,024
0,2833;1,082;3,31;1,081;1,026
0,2840;1,082;3,315;1,081;1,027
0,2847;1,082;3,318;1,081;1,028
0,2853;1,083;3,321;1,081;1,029
0,2860;1,082;3,321;1,074;1,028
0,2867;1,08;3,321;1,074;1,027
0,2873;1,082;3,321;1,071;1,025
0,2880;1,082;3,321;1,071;1,026
0,2887;1,082;3,321;1,074;1,026
0,2893;1,08;3,321;1,074;1,028
0,2900;1,08;3,321;1,074;1,029
0,2907;1,08;3,321;1,074;1,03
0,2913;1,08;3,321;1,071;1,032
0,2920;1,08;3,321;1,068;1,034
0,2927;1,082;3,324;1,068;1,035
0,2933;1,084;3,324;1,068;1,036
0,2940;1,084;3,324;1,068;1,037
0,2947;1,083;3,324;1,065;1,038
0,2953;1,083;3,324;1,059;1,038
0,2960;1,083;3,33;1,059;1,039
0,2967;1,083;3,332;1,059;1,039
0,2973;1,083;3,341;1,059;1,038
0,2980;1,083;3,355;1,059;1,038
0,2987;1,083;3,363;1,059;1,038
0,2993;1,084;3,374;1,062;1,038
0,3000;1,085;3,38;1,065;1,037
0,3007;1,087;3,377;1,068;1,034
0,3013;1,089;3,374;1,068;1,033
0,3020;1,086;3,369;1,065;1,032
0,3027;1,085;3,363;1,059;1,03
0,3033;1,083;3,358;1,062;1,029
0,3040;1,078;3,352;1,062;1,028
0,3047;1,069;3,349;1,062;1,028
0,3053;1,064;3,344;1,062;1,028
0,3060;1,061;3,341;1,059;1,027
0,3067;1,06;3,338;1,059;1,026
0,3073;1,06;3,335;1,059;1,026
0,3080;1,058;3,338;1,059;1,026
0,3087;1,06;3,341;1,059;1,026
0,3093;1,06;3,346;1,062;1,026
0,3100;1,053;3,352;1,059;1,026
